"topic","label","docid","text","probability"
10,"topic10","1010","unknown curtis finds his life changed forever",0.102239020618668
1,"topic1","1011","qld govt fails to follow through on new animal",0.102511727559292
6,"topic6","1012","rivkins fitness for jail reconsidered",0.102758461508032
4,"topic4","1013","report to be delivered over dam blast",0.102427895457638
3,"topic3","1014","us soldier killed 4 hurt in baghdad attack",0.101858528686738
10,"topic10","1015","rain may offer zimbabwe great escape",0.102026727470075
9,"topic9","1016","first woman chosen as waff section president",0.101638270886059
9,"topic9","1017","kings regain top spot",0.102448226022733
9,"topic9","1018","arafura games rescheduled for 2005",0.103498727379668
9,"topic9","1019","store withdraws jesus and mary thongs after outcry",0.121593105877883
8,"topic8","102","labor suggests advertising for next g g",0.103748859420105
4,"topic4","1020","irymple to be home for new ambulance station",0.102997327623439
9,"topic9","1021","montgomery brushes off chambers record threat",0.103559326165777
9,"topic9","1022","aussies on top in darwin",0.10111788348119
8,"topic8","1023","survey reveals low expectations of hospitals",0.102478615687847
10,"topic10","1024","man hospitalised after sth freo dog attack",0.10235056600063
10,"topic10","1025","livestock trade may take decade to recover from",0.10229200276426
6,"topic6","1026","president hu sends condolences over submarine",0.102219117861003
10,"topic10","1027","man charged over fatal car accident",0.101557181674651
8,"topic8","1028","pontings family thrilled by world cup win",0.103505200336522
1,"topic1","1029","pm to outline case against iraq",0.101499938601801
9,"topic9","103","qld health offers meningococcal reassurance",0.101653069993916
7,"topic7","1030","edmonds relishing warratah old boys get together",0.108104776350854
9,"topic9","1031","alp defends rent rise slug",0.102735801914557
2,"topic2","1032","americas cup fourth race cancelled",0.102366772024548
5,"topic5","1033","pair plead not guilty to sex assault charges",0.103012217398708
6,"topic6","1034","mater staff strike over hospital redevelopment",0.101922310025428
9,"topic9","1035","police not resourced to tackle domestic violence",0.102977312140486
9,"topic9","1036","dfat urges australians in iraq to avoid strategic",0.101508792646518
10,"topic10","1037","illegal fishing hot spots identified",0.103544214171077
10,"topic10","1038","man faces murder charge in murgon",0.106134674491253
10,"topic10","1039","schwarzenegger takes t3 act to troops in gulf",0.101730962623158
1,"topic1","104","obesity rate increasing in act study",0.102029099374534
8,"topic8","1040","report reels off over fishing fears",0.101330455467061
2,"topic2","1041","emotional plea wins chaplaincy funding",0.101938189132806
6,"topic6","1042","war possibility delays rail opening",0.102277424085887
9,"topic9","1043","hawks hang on to fourth place",0.102987506934363
4,"topic4","1044","six policemen injured in ankara explosion",0.106108534489554
1,"topic1","1045","bangladesh fights back with quick wickets",0.100985030453216
6,"topic6","1046","surfboard manufacturer supports calls for uni",0.108652248190639
3,"topic3","1047","chappell joins australia cricketers association",0.102920306957706
9,"topic9","1048","sa police fear for atm fraud suspect",0.102820148739764
6,"topic6","1049","staff stress affects health services cunningham",0.103570943924279
4,"topic4","105","robson rules out premiership title",0.103636767747445
9,"topic9","1050","australian veteran fowler sparkles again",0.105798576561155
6,"topic6","1051","fruit fly concerns spark warning",0.102961002367578
8,"topic8","1052","migrant plan aims to boost regional growth",0.102555002775432
6,"topic6","1053","downer says more solomons aid possible",0.102582054365946
3,"topic3","1054","shiite group condemns brits killings",0.101743114915981
4,"topic4","1055","girl 12 runs off to france with ex marine",0.101465249409107
10,"topic10","1056","martinez upsets dokic in rome masters",0.102759549393649
5,"topic5","1057","former a g presides over case against carr",0.101199100679017
7,"topic7","1058","uk foreign secretary on diplomatic shuttle through",0.101553287491234
9,"topic9","1059","israel prisoner list disappoints palestinians",0.103098949598655
10,"topic10","106","life bans for brawling player family",0.104483724386956
2,"topic2","1060","aru facing legal action over player payments",0.101866176143675
7,"topic7","1061","eels re sign widders",0.101013432898004
3,"topic3","1062","predictions gold to withstand short war",0.103842217802273
2,"topic2","1063","singh one shot back as night falls in chicago",0.104698079273895
8,"topic8","1064","manila rebels claim moral victory",0.10313813531606
7,"topic7","1065","algerian army kills 150 islamists in search",0.106494860916546
5,"topic5","1066","assurance auxiliaries safe in rfds fundraising",0.103321462906315
6,"topic6","1067","british landing near mosul thwarted iraq says",0.102742789417035
2,"topic2","1068","farmers to be given hay to ease burden of drought",0.102203919866403
6,"topic6","1069","china records fewer new sars infections",0.101756028243671
2,"topic2","107","official french heatwave toll raised to 14802",0.106977434913731
10,"topic10","1070","rainwater tank rebate under consideration",0.101654445479403
10,"topic10","1071","father of bali victim vows to help detainees",0.103826561627023
4,"topic4","1072","beating sri lanka my greatest challenge fleming",0.103122475224782
10,"topic10","1073","telstra denies thousands of jobs to be slashed",0.103962992868299
6,"topic6","1075","cowboys to protest over conversion controversy",0.101641583718648
6,"topic6","1076","mine delays aid ship to iraq port",0.10188021636513
6,"topic6","1077","spence rejects abuse claims",0.102785596514552
1,"topic1","1078","oppn says budget allocation cruel hoax",0.103703056651867
2,"topic2","1079","spain crash to greece and berti defies rudi",0.104228250523869
8,"topic8","108","samoas sititi criticises leota pull out",0.103888792508074
10,"topic10","1080","telstra convinced mobile problems in qld over",0.104244650108729
3,"topic3","1081","govt compromises customs computer theft probe",0.101360239791645
10,"topic10","1082","gregan joins 90 test club",0.1019938224807
9,"topic9","1083","alcohol ban still under consideration",0.100894293911835
1,"topic1","1084","howard defends length of us led war in iraq",0.102466074969078
3,"topic3","1085","hodgkins patients risk breast cancer",0.102520956639478
7,"topic7","1086","residents air powerline approach concerns",0.102952978739629
1,"topic1","1087","pozzato takes stage to nab lead in tirreno",0.106673365835528
8,"topic8","1088","united draw with strikers",0.101182487515346
3,"topic3","1089","accused testifies in amrozi trial",0.102523314203683
1,"topic1","109","costello introduced as next aust pm in israel",0.101995384654095
6,"topic6","1090","cane farmers air deregulation concerns",0.101288816096221
8,"topic8","1091","larrikin beem commits to aussie pga",0.106204279345612
8,"topic8","1092","calder highway speed limit set to rise",0.101157186607143
2,"topic2","1093","food forum to wrap up today",0.101756844586125
6,"topic6","1094","lee hoping for repeat in asian pga event",0.103407402174628
3,"topic3","1095","wallabies warned to improve against wales",0.10140820408077
5,"topic5","1096","senior planning officer appointed in kimberley",0.102623375099139
8,"topic8","1097","meningococcal meningitis case in bendigo",0.105566715760097
5,"topic5","1098","drugs scandal and cricket getty pulls up stumps",0.104449602081339
10,"topic10","1099","woman to face court on murder charge",0.103259820675915
5,"topic5","11","police question man after homeless man found dead",0.101306299369645
8,"topic8","110","woman avoids jail term after spending 250k bank",0.103160395992682
5,"topic5","1100","tasmania celebrates cultural diversity",0.101595117412093
3,"topic3","1101","polling underway in nsw election",0.102677665415159
3,"topic3","1102","housing task force backs shared equity costello",0.106829112046815
9,"topic9","1103","british forces mark time on basra fringe",0.102893939928726
4,"topic4","1104","thailand rounds up illegal workers ahead of apec",0.105823490823131
6,"topic6","1105","council considers pool future",0.101662851458509
4,"topic4","1106","israeli soldiers shoot dead islamic jihad leader",0.104474245428638
7,"topic7","1107","grace bros to shut doors in tamworth",0.104693990509731
1,"topic1","1108","final touches to bali memorial as mourners arrive",0.101664138173941
9,"topic9","1109","wisla hold lazio in six goal thriller",0.105028461107014
2,"topic2","111","wallabies look ahead to england clash",0.101608219406323
8,"topic8","1110","vic business confidence takes a battering survey",0.104996192856739
8,"topic8","1111","public warned to keep away from amorous crocs",0.104365485677639
9,"topic9","1112","police air missing man concerns",0.101701615229709
2,"topic2","1113","appeals court orders tax boss fraud trial",0.102214250614089
7,"topic7","1114","carr backs coffs lifesaving bid",0.101876611831685
3,"topic3","1115","bush arab leaders agree to peace moves",0.102998753892658
7,"topic7","1116","sa govt responds to development concerns",0.101499951615267
6,"topic6","1117","vic govt refuses to fund rates review",0.102059124404763
8,"topic8","1118","indonesian military kill aceh rebel leader",0.103384069580177
4,"topic4","1119","police seize drugs in jindabyne",0.10174847864834
1,"topic1","112","greens highlight indigenous concerns",0.101529828079674
1,"topic1","1120","arafat backs speaker as new pm",0.101416677404216
8,"topic8","1121","man charged for sitting on milk crate",0.107635552260837
1,"topic1","1122","edi given six weeks to fix millennium train problem",0.10322970603712
10,"topic10","1123","us ratifies trade agreements with chile singapore",0.104885881302366
4,"topic4","1124","child sex abuse lawsuit rocks us catholic diocese",0.101984806847055
3,"topic3","1125","conservationists at loggerheads with epa over",0.101783003888986
7,"topic7","1126","powell handed one match ban",0.101515201736296
1,"topic1","1127","economy passenger fined for taking his business",0.102429589332232
6,"topic6","1128","mozambique nigeria to discuss sao tome intervention",0.106862793799452
8,"topic8","1129","residents unhappy with federal grant to boost tv",0.104707526364476
9,"topic9","113","fed govt urged to boost regional uni funds",0.101251831668773
10,"topic10","1130","wallabies complete final hit out",0.102125401461723
4,"topic4","1131","hanson says she has never taken money",0.100554337052585
10,"topic10","1132","darcy loses appeal against child sex offence",0.10667399998589
9,"topic9","1133","call for states to work together to prevent",0.100817122633702
6,"topic6","1134","asic to appeal whitlam decision",0.101759993411502
2,"topic2","1135","rockhampton short of crisis accommodation",0.101899535750639
5,"topic5","1136","national easter road toll climbs to 18",0.101469249678418
6,"topic6","1137","rfs rejects claim that act authorities spurned",0.102368118007652
1,"topic1","1138","fewer australians taking on new home loans",0.101862104501978
7,"topic7","1139","girls in hospital after being hit at adelaide",0.102442832232768
4,"topic4","114","wa premier chances timber workers anger",0.103698148537703
1,"topic1","1140","gunners out to take advantage of absent enemies",0.104995515381712
4,"topic4","1141","sewage spill in derwent",0.100999579605633
4,"topic4","1142","grandmother granddaughter found in grampians",0.10312773092373
1,"topic1","1143","australian dies after iraq blast",0.101813435018115
6,"topic6","1144","freezing wait after boat capsizes",0.102467673734518
1,"topic1","1145","france claims edge in euro us space race",0.101362386038415
7,"topic7","1146","whatmore braces for enormous bangladesh challenge",0.10236575638309
6,"topic6","1147","ice cool thorne unworried by canada score",0.107736124659332
7,"topic7","1148","mr clean up gives thumbs up to effluent re use",0.102014135456847
3,"topic3","1149","big weekend of sport for western nsw",0.104888298131522
10,"topic10","115","hodgson starts superbike season with double victory",0.106044306811106
5,"topic5","1150","police to search for bodies in burnt out house",0.103353937560294
9,"topic9","1151","carlton stuns essendon",0.102940763989496
6,"topic6","1152","us turkey agree on supplies for n iraq troops",0.102631944724361
6,"topic6","1153","ponting confident of early win",0.101144118152674
2,"topic2","1154","kidwell a chance for dogs clash says bellamy",0.10450256439785
1,"topic1","1155","yarrowlumla opposes amalgamation plan",0.102907838513609
1,"topic1","1156","transition team to replace peace monitors on",0.10178262916326
2,"topic2","1157","dispute over at smithton vegetable processing plant",0.103796619537871
3,"topic3","1158","westfield to sell interest in wtc precinct",0.101577710108113
5,"topic5","1159","iraq may have destroyed weapons before war",0.103949332129198
4,"topic4","116","vic police investigate partially burnt body",0.1029834090723
1,"topic1","1160","bureau predicts more rain for central vic",0.102855569201056
5,"topic5","1161","teachers to talk war feelings with students",0.103192530908534
10,"topic10","1162","aust handling of sars victims criticised in report",0.102295075700323
6,"topic6","1163","shepherd woolskins staff hoping for jobs under new",0.104022540456658
10,"topic10","1164","costello criticises irresponsible senate",0.101000086742493
4,"topic4","1165","health workers strike to support newcastle",0.103409330052025
10,"topic10","1166","oil prices hit 12 year high",0.102149606203974
2,"topic2","1167","residents plan 300m class action over highway noise",0.102865163728842
4,"topic4","1168","decision reserved on jailing of sex offender",0.102878909506417
7,"topic7","1169","well known quirindi resident dies",0.101256680696315
3,"topic3","117","anti gun ad likely to increase crime shooters",0.103936770100168
9,"topic9","1170","olympics rejection blamed for cyclist turning",0.101985349699494
7,"topic7","1171","elton john furniture sale smashes expectations",0.113200630300252
8,"topic8","1172","ferrero progresses with maiden win over el aynaoui",0.10817779907096
5,"topic5","1173","tough talk not war in syria downer",0.103046312681418
8,"topic8","1174","pittman holds on for oslo win",0.103669861428671
4,"topic4","1175","minister talks up mature aged workers",0.103195551577533
9,"topic9","1176","langer commits to ryder cup captaincy",0.110676408760614
7,"topic7","1177","spotlight set for woods in hat trick bid at augusta",0.103721618397498
3,"topic3","1178","matildas crash to another loss",0.101607472201498
9,"topic9","1179","kalgoorlie to host roads conference",0.102564722253573
5,"topic5","118","amc preparing to suspend stanwell operations",0.10420806711042
7,"topic7","1180","heritage listing sought for tambrey centre",0.104450869377743
9,"topic9","1181","senator raises questions over radio station funds",0.104372154021188
3,"topic3","1182","couples breaks title drought",0.102001563419968
1,"topic1","1183","man pleads guilty to rape",0.10179815542096
6,"topic6","1184","farmers sought for climatic mapping scheme",0.101621764889558
2,"topic2","1185","lions sweating on voss",0.103540775647842
2,"topic2","1186","court clears union chief",0.102298180683246
10,"topic10","1187","police ethics unit to oversee fatal car crash probe",0.103829690110109
6,"topic6","1188","no threat to expats despite beheading solomons",0.104738197491775
9,"topic9","1189","rann vows to crack down on bikie gangs",0.103170123533689
2,"topic2","119","vettori bond strike ahead of sri lanka test series",0.105116509900743
3,"topic3","1190","wallabies face off for squad honours",0.102014566771757
6,"topic6","1191","farmers group claims sustainability plan snub",0.102226218221029
1,"topic1","1192","bad hair day for inmate as wardens spy cash stash",0.114416910141916
9,"topic9","1193","french soldiers arrive to quell drcongo violence",0.103857753069096
10,"topic10","1194","waugh backs macgill to challenge warne",0.101278178483634
10,"topic10","1195","south africas aviation authority denies cronje",0.103342998506217
8,"topic8","1196","sharks rocked by spirit power zap glory",0.103723955235622
5,"topic5","1197","fosters suffers profit loss",0.102485310941624
8,"topic8","1198","man u agreed deal with eriksson ferguson",0.101718661725178
3,"topic3","1199","wine grape growers hope for good harvest despite",0.102171728536605
4,"topic4","12","hope for flights boost to increase visitor numbers",0.102280817637486
1,"topic1","120","rwandan president sworn in",0.101662312745552
4,"topic4","1200","us warns 200 n korean missiles aimed at japan",0.102074329287532
3,"topic3","1201","ruddock arrives to launceston protest",0.101996686315928
1,"topic1","1202","flitcroft commits to blackburn",0.101522678692534
4,"topic4","1203","fish crushes martin sets up semis clash with rios",0.102135506343013
3,"topic3","1204","waterhouse cleared to resume bookmaking next month",0.102574899931128
6,"topic6","1205","water park needs more rain",0.100889486414113
6,"topic6","1206","bedi labels murali a chucker",0.104464309001875
6,"topic6","1207","govt plan may see fatty foods go from school",0.10292949633625
8,"topic8","1208","tas symphony orchestra gains 500000 funding boost",0.108467929246003
8,"topic8","1209","legal arguments dominate hanson fraud trial",0.101540393241701
8,"topic8","121","vic govt requests audit of correctional centre",0.102119901663894
9,"topic9","1210","iraqi nerve gas official surrenders to us forces",0.10409940061823
5,"topic5","1211","extreme alert added but no need for alarm",0.103183833232475
9,"topic9","1212","ama calls on doctors to give blood",0.102177197286595
1,"topic1","1213","new tenancy laws to boost small businesses",0.101035537199296
6,"topic6","1214","witnesses identify nightclub drive by shooters",0.100898088812771
1,"topic1","1215","train derailment in southern india",0.101570432593004
3,"topic3","1216","manufacturing survey shows production up jobs down",0.103170355773834
7,"topic7","1217","typhoon imbudo lashes south china coast",0.101519436406957
3,"topic3","1218","howard warns early election a possibility",0.101754774918898
7,"topic7","1219","orica posts 425 million half year loss",0.104295818302367
10,"topic10","122","qantas plane makes emergency landing in nz",0.101511512255298
8,"topic8","1220","fans face tough choice on grand final day",0.102373931916007
10,"topic10","1221","ronaldo stars in real demolition",0.102455685031887
8,"topic8","1222","hewitt ousts paradorn to reach quarter finals",0.103751478816916
6,"topic6","1223","troops in iraq to get pay rise",0.101839310021863
9,"topic9","1224","us senate outlaws partial birth abortions",0.103331860356348
3,"topic3","1225","mim offers xstrata chance to diversify mayor says",0.102994642718053
4,"topic4","1226","no plans to sell police station site",0.101238618886957
3,"topic3","1227","prison escapes labelled a disgrace",0.10184357793213
1,"topic1","1228","us87 billion enough to restore iraq stability",0.105895296413522
9,"topic9","1229","youth leader laments human rights efforts",0.102426661794041
3,"topic3","123","doctor clears kefu to rejoin wallabies",0.103098989890571
5,"topic5","1230","pollies pay rise sparks war of words",0.11107702762721
2,"topic2","1231","airport targets business passengers",0.101906073794785
10,"topic10","1232","diana fund frozen by law suit threat",0.107187525884451
9,"topic9","1233","anaesthetist shortage jeopardises elective surgery",0.104948364605359
4,"topic4","1234","hospital workers protest against privatisation",0.10143315983494
3,"topic3","1235","bordertown police out in force over long weekend",0.104904132113126
5,"topic5","1236","clark wont apply for legal funding from atsic",0.103168090971202
6,"topic6","1237","love to bat at number four",0.100761279506453
2,"topic2","1238","worker entitlements safe pasminco",0.101314247270756
9,"topic9","1239","japans pm reiterates nuclear pledge at a bomb",0.107297550549606
6,"topic6","124","rossi wins motogp as bayliss crashes out",0.103732941724031
1,"topic1","1240","norman leads aussies into open",0.10360784857499
8,"topic8","1241","albany jobless rate falls",0.102428060151129
8,"topic8","1242","good rain for some in central victoria",0.101272250636052
7,"topic7","1243","discrimination against muslims still rife after",0.10120173176792
2,"topic2","1244","health dept considers remote services",0.102224831214478
3,"topic3","1245","downing st bbc row continues",0.104354720886854
8,"topic8","1246","judge rejects milk laws review application",0.102165635812406
2,"topic2","1247","pressure mounts for council water conservation",0.101888967514961
6,"topic6","1248","keke in custody of intervention force",0.102470881329486
6,"topic6","1249","coach wants graham to rest",0.100849547012133
1,"topic1","125","australia to host spain in davis cup final",0.101844090809421
2,"topic2","1250","iran delays trial over canadian journalists murder",0.101680244795835
6,"topic6","1251","sorenstam cool over pga controversy",0.102282168379886
10,"topic10","1252","broadband crash strands telstra surfers",0.104047274602433
5,"topic5","1253","nt looks to sponsor overseas teachers",0.101960622721795
3,"topic3","1254","moves for gaming tax review defeated",0.104113540586121
5,"topic5","1255","klusener despondent after latest heartbreak",0.103437998245908
1,"topic1","1256","mayor thinks merger unlikely",0.100517061934975
8,"topic8","1257","embassy reveals us asked for expulsion of diplomats",0.10309245944294
10,"topic10","1258","mp evicted from plane defends actions",0.103991598211006
8,"topic8","1259","lille hold lyon as bordeaux close on leaders",0.102761646311941
3,"topic3","126","methane tax proposal on the nose",0.101308878863597
3,"topic3","1260","plans to report dredge operator to epa",0.107174133358305
7,"topic7","1261","yemeni gets death for killing three us missionaries",0.1021602214499
8,"topic8","1262","doctors can afford insurance levy coonan",0.102500598700214
7,"topic7","1263","tas compo laws draw fire",0.101866321095207
10,"topic10","1264","tribal theme for prince williams birthday bash",0.108624324647183
1,"topic1","1265","us troops release al jazeera cameraman in iraq",0.103363424561333
7,"topic7","1266","policewoman reports second attack",0.100974684084812
1,"topic1","1267","parliament honours bali victims",0.103356339051928
5,"topic5","1268","sth korean defence ministry release new report",0.10220853141847
6,"topic6","1269","cmc broadens foster care inquiry",0.104731923752831
6,"topic6","127","hobart rally calls for refugee visa overhaul",0.102383499866391
1,"topic1","1270","group seeks retail talks with council",0.103870640070894
9,"topic9","1271","stosur returns from wimbledon",0.101192677218699
5,"topic5","1272","agforce backs compulsory ethanol push",0.101713785428235
9,"topic9","1273","new coral reef found off qld",0.102599456132944
6,"topic6","1274","collectors urged to boost security",0.101412932433396
4,"topic4","1275","jakovich has no aspirations for 300 club",0.103769368563108
7,"topic7","1276","img boss dies",0.101980276478269
10,"topic10","1277","wa plans tough law to crack down down on hoons",0.102725957810398
4,"topic4","1278","us soldiers killed in tikrit attack",0.102983432708155
6,"topic6","1279","more blasts rock baghdad",0.101530298047331
7,"topic7","128","mistake sees pan pills return to shelves",0.103107425381161
5,"topic5","1280","kimberley people wait up to five years for eye",0.102007598022817
4,"topic4","1281","public prepare to cast votes in nsw poll",0.101433504292451
1,"topic1","1282","urgent call to bridge rich poor divide",0.10212628234453
10,"topic10","1283","businesses warned about letter scam",0.10104626886114
8,"topic8","1284","alleged trouser snake smuggler refused bail",0.105171607613725
2,"topic2","1285","report confirms danger of drink swimming",0.102510191166767
10,"topic10","1286","taurimas season in doubt after ankle injury",0.103238640465697
7,"topic7","1287","police speak out over drink driving arrests",0.10257842004011
10,"topic10","1288","man sends police on car chase",0.101068902745781
10,"topic10","1289","snow falls on cue at mid winter festival",0.102389511923826
8,"topic8","129","protesters march from us embassy to pms lodge",0.102505729827745
9,"topic9","1290","gas blast may have ignited centre blaze",0.102173240110262
3,"topic3","1291","anti war protesters send pm reality message",0.103945998411486
6,"topic6","1292","woods harrington head world challenge line up",0.101673966186351
7,"topic7","1293","prison escape prompts day release review",0.102756648693824
9,"topic9","1294","doctors sign up for after hours service",0.102003999248434
4,"topic4","1295","at least five killed in factional afghan fighting",0.101484177031309
5,"topic5","1296","us suspends spy flights over sea of japan",0.102519368134446
9,"topic9","1297","royal palace warns stay away from harry",0.101982783658457
6,"topic6","1298","ec unfazed by berlusconi charge",0.103579315709772
4,"topic4","1299","turkeys eu bid falters after cyprus reunification",0.104394126655402
8,"topic8","13","exporters to gain from us rate cut costello",0.101847840944297
5,"topic5","130","tasmanian military barracks goes cheap at auction",0.101859871944143
9,"topic9","1300","act department defends plan to remove blue gums",0.104794418048257
8,"topic8","1301","recreation centres warn against mobile phone",0.104548957936615
10,"topic10","1302","gillespie rested for windies one dayer",0.101864633558699
3,"topic3","1303","montgomery pulls out of prefontaine meeting",0.102503128342494
4,"topic4","1304","police investigate rocket propelled grenade",0.102014750139913
5,"topic5","1305","kewell set to snub man u move report",0.102238914989744
8,"topic8","1306","paramedics warn of summer snake bite risk",0.114748475797107
7,"topic7","1307","fed govt plans land buy up around weapons range",0.102546523969534
3,"topic3","1308","farmers group fears new tax in the wind",0.101342939779149
8,"topic8","1309","convoy leaves aceh to collect food supplies",0.102583442121816
10,"topic10","131","mp asked to apologise for farm claims",0.103055328952951
9,"topic9","1310","basin council set to decide on delaying murray",0.103063548171692
9,"topic9","1311","bruce signs new deal with birmingham",0.102002929259507
8,"topic8","1312","new life planned for wollongong site",0.102484345083407
9,"topic9","1313","drought forces extended fire restrictions",0.101535076118988
9,"topic9","1314","democrats senator brands liberal colleague a",0.103228756804044
4,"topic4","1315","hawks get behind embattled schwab",0.102620559911411
1,"topic1","1316","port kembla steelworks evacuated due to fire",0.103096093987604
7,"topic7","1317","arroyo extends ultimatum deadline for rebel",0.102249248603693
9,"topic9","1318","emergency crews repair flood damaged homes",0.102658171414993
6,"topic6","1319","proteas two down at lunch against pakistan",0.101485197735898
2,"topic2","132","australia leads clare higson trophy golf tournament",0.110107091238647
8,"topic8","1320","surgery begins to separate egyptian twins",0.102366659802255
2,"topic2","1321","councillor to contest wollongong as independent",0.101498765322201
6,"topic6","1322","anderson upbeat about water plan",0.100507401946309
8,"topic8","1323","fans hail afl grand final as wild weather forecast",0.106580471399128
5,"topic5","1324","study rethinks testosterone use in women",0.104080409247992
2,"topic2","1325","magistrate names man at centre of freeway stand off",0.102090452779559
9,"topic9","1326","democrats deny split over telstra",0.103237099141347
9,"topic9","1327","bushfire inquiry a waste of time national parks",0.101923431687679
4,"topic4","1328","iraq grenade attack kills us soldier",0.10227392981641
5,"topic5","1329","blues seal origin series with commanding win",0.103876248624268
9,"topic9","133","wa minister criticises fed govt airport security",0.101057226895248
1,"topic1","1330","tas budget criticised for underspending",0.101187277800405
3,"topic3","1331","france squad announced for argentina new zealand",0.10127468786222
5,"topic5","1332","opponent blasts unsportsmanlike roddick",0.101928447905894
7,"topic7","1333","shake up planned for boating licences",0.102433698669874
2,"topic2","1334","amp shares hit record low",0.101111138170727
2,"topic2","1335","rural real estate market becomes more active",0.101552519676937
10,"topic10","1336","rain sparks easing of water restrictions",0.102764419076952
1,"topic1","1337","london airport evacuated in security alert",0.102998092210844
6,"topic6","1338","germans edge rogers to mercx race win",0.106056827511657
5,"topic5","1339","tanner rules out challenging crean",0.101465943817359
10,"topic10","134","democrats ask for labor support on asylum seekers",0.102522065803844
2,"topic2","1340","best dressed us socialite charged with shoplifting",0.102855221566052
9,"topic9","1341","mayor calls for lethal injection for drug users",0.101747909599322
7,"topic7","1342","nz refuses to release algerian man",0.101546684735003
10,"topic10","1343","group concerned rain brings wrong impression",0.102442060633298
3,"topic3","1344","klitschko applies mind and body to sport",0.103655836490214
1,"topic1","1345","south koreans will back president polls reveal",0.103929935527932
3,"topic3","1346","37 hurt in spanish bull running fiesta",0.105257412981148
3,"topic3","1347","rain again the winner at wimbledon",0.102403157390197
10,"topic10","1348","activists sentenced to jail",0.100967817916771
6,"topic6","1349","tendulkar blazes century in big total",0.102659001951266
9,"topic9","135","islamic jihad accepted truce to prevent civil war",0.105953100539525
3,"topic3","1350","alleged murderer led police to victims body court",0.103420589694466
9,"topic9","1351","no proof linking n korea heroin haul afp",0.103125399939447
7,"topic7","1352","housing rental market still tight in pilbara",0.103175199234046
7,"topic7","1353","study to take snapshot of speed camera impact",0.103014416697555
8,"topic8","1354","residents seek legal aid to fight development",0.102247372399457
5,"topic5","1355","young people encouraged to take on farming",0.100808299806683
8,"topic8","1356","five more killed in aceh",0.101511042923835
4,"topic4","1357","meeting aims to ban tail docking",0.101848648555017
5,"topic5","1358","armstrong heads dauphine libere cast",0.105567300287803
1,"topic1","1359","australian gymnasts claim bronze",0.101347578251573
5,"topic5","136","moroccans back suicide attacks as war anger flares",0.111187172116079
7,"topic7","1360","raiders escape from tigers",0.101299315479526
7,"topic7","1361","rates on hold as dollar hits new high",0.101089647229487
4,"topic4","1362","police seek public help to find missing man",0.101152075833349
2,"topic2","1363","idi amin out of coma still critical",0.103855564352659
1,"topic1","1364","pms quiet diplomacy on china under fire",0.101465389566271
3,"topic3","1365","nsw tourism chief resigns in merger protest",0.10285833295151
1,"topic1","1366","springborg attacks labor in budget reply",0.102336244027316
8,"topic8","1367","new mums warned of inadequate service if insurance",0.102727203120322
1,"topic1","1368","sunday trading laws are illegal mp",0.10350539160532
10,"topic10","1369","interest rates may rise by christmas nab",0.102888627493323
3,"topic3","137","us turkey to discuss iraqi incursions",0.103481032274789
5,"topic5","1370","mutola and averbukh produce years best performances",0.113695707443877
10,"topic10","1371","youth worker to spread the word of condom man",0.10189382116272
9,"topic9","1372","terrorism course may spread its wings",0.101866980921591
2,"topic2","1373","committee to hear cardiologists case for contract",0.103599349007014
10,"topic10","1374","iraq denies drone aircraft for biological warfare",0.101950200868376
